metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,11,0.26019295935536585,0.4947404178810156,0.08070442685456003,-0.36158867854652255,1.1868478342989028,26.21755817118276,One-sample t-test (one-tailed: improvement > 0),1.66309917881109,0.06363510784335474,False,0.5259181379798686,medium
Cumulative Head Rotation,rad,11,4.958336353705147,9.437889853831177,1.390759291629454,-6.003104959965061,25.708652275672428,29.339088639874632,One-sample t-test (one-tailed: improvement > 0),1.6613497853609303,0.06381302579466944,False,0.5253649311972401,medium
Cumulative Vertical Rotation (Pitch),rad,11,6.178602278343046,10.994142169059403,3.011185469018912,-8.886906562701583,31.075049425163954,33.784108522089305,One-sample t-test (one-tailed: improvement > 0),1.7771696650291058,0.05295638977568884,False,0.5619903930050463,medium
Cumulative Horizontal Rotation (Yaw),rad,11,3.7962735589028567,7.064906701790934,5.824284200651849,-6.47679847970517,17.575592510139536,29.55022781395673,One-sample t-test (one-tailed: improvement > 0),1.6992257044474783,0.060059288656889226,False,0.5373423484758139,medium
Viewing Sphere Coverage,%,11,0.10768128101471049,0.39726529349566864,0.06175818753599849,-0.7402832353234019,0.8633047445933226,7.591287652151113,One-sample t-test (one-tailed: improvement > 0),0.8571554448534906,0.20571495510911886,False,0.2710563514551883,small
Viewing Sphere Coverage (with FOV),%,11,10.854714454010606,18.773697404704702,14.463626184916485,-33.795293163366,42.22268475226025,15.380230778970972,One-sample t-test (one-tailed: improvement > 0),1.8283889574582428,0.04871604968679763,True,0.5781873554268754,medium
