metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,10,0.32117511593875747,0.47784707967760554,0.2890072843613396,-0.36158867854652255,1.1868478342989028,31.308594008875744,One-sample t-test (one-tailed: improvement > 0),2.0163884824122915,0.03727770924141466,True,0.6721294941374305,medium
Cumulative Head Rotation,rad,10,6.049848022302025,9.212804482503678,4.96303174134624,-6.003104959965061,25.708652275672428,34.6357402412692,One-sample t-test (one-tailed: improvement > 0),1.9700346513783544,0.04016882226626238,True,0.6566782171261182,medium
Cumulative Vertical Rotation (Pitch),rad,10,7.68515316244751,10.391901991766659,4.425182963066394,-6.256101947285899,31.075049425163954,41.26129682876631,One-sample t-test (one-tailed: improvement > 0),2.218598626662281,0.026843345583651264,True,0.7395328755540936,medium
Cumulative Horizontal Rotation (Yaw),rad,10,4.82358076276366,6.579911577929007,6.406091006676367,-4.302944509033553,17.575592510139536,36.60739431546742,One-sample t-test (one-tailed: improvement > 0),2.19923050893726,0.027705029782183612,True,0.73307683631242,medium
Viewing Sphere Coverage,%,10,0.19247773264852172,0.3074196878068832,0.11274391711935672,-0.22540104932320126,0.8633047445933226,13.407670735955657,One-sample t-test (one-tailed: improvement > 0),1.8783221141916606,0.04652757016800227,True,0.6261073713972202,medium
Viewing Sphere Coverage (with FOV),%,10,15.319715215748266,12.976838437857694,15.981687630389349,-2.6262278127118606,42.22268475226025,21.567420788571354,One-sample t-test (one-tailed: improvement > 0),3.5416288695686386,0.0031489985461827393,True,1.1805429565228793,large
