metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,10,0.2943504653963943,0.479237703389237,0.14390060645128072,-0.36158867854652255,1.2088146846953889,29.851014113448677,One-sample t-test (one-tailed: improvement > 0),1.8426167013657697,0.049250495603758895,True,0.6142055671219232,medium
Cumulative Head Rotation,rad,10,5.042379609102552,8.160004484992273,2.4502489719935863,-6.003104959965061,20.659533682383,30.026206157601106,One-sample t-test (one-tailed: improvement > 0),1.8538150138433382,0.04838083703897507,True,0.6179383379477795,medium
Cumulative Vertical Rotation (Pitch),rad,10,5.917062817446305,9.204432514372785,2.94829483760091,-6.256101947285899,26.292545097928084,32.65469000729982,One-sample t-test (one-tailed: improvement > 0),1.928547840903859,0.042936086390835786,True,0.6428492803012864,medium
Cumulative Horizontal Rotation (Yaw),rad,10,3.861077752480233,5.838247480385369,3.9175277573457734,-4.302944509033553,13.84293146856245,29.796292757026837,One-sample t-test (one-tailed: improvement > 0),1.9840257365513592,0.039274409241748444,True,0.6613419121837865,medium
Viewing Sphere Coverage,%,10,0.15694903636947935,0.2971296896886456,0.1029642411581011,-0.22540104932320126,0.8633047445933226,11.108680555447645,One-sample t-test (one-tailed: improvement > 0),1.5846518387369042,0.0737531224453611,False,0.5282172795789681,medium
Viewing Sphere Coverage (with FOV),%,10,13.980452002414253,13.327368852409489,11.895358856943457,-2.6262278127118606,42.22268475226025,19.979790963642234,One-sample t-test (one-tailed: improvement > 0),3.1470094713901515,0.005897090426768397,True,1.0490031571300507,large
