metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,10,0.23648124110409058,0.5128939342465297,0.06179712307353624,-0.36158867854652255,1.1868478342989028,23.982312568310753,One-sample t-test (one-tailed: improvement > 0),1.383217222786003,0.09997209820455054,False,0.46107240759533435,small
Cumulative Head Rotation,rad,10,4.60063956996936,9.827193114125224,1.0512951788168365,-6.003104959965061,25.708652275672428,27.395746233652478,One-sample t-test (one-tailed: improvement > 0),1.404461940416103,0.09686966340466881,False,0.468153980138701,small
Cumulative Vertical Rotation (Pitch),rad,10,5.380752363393562,11.223015142206895,2.94829483760091,-8.886906562701583,31.075049425163954,29.694935790540487,One-sample t-test (one-tailed: improvement > 0),1.4383173225414068,0.09209704175424378,False,0.4794391075138022,small
Cumulative Horizontal Rotation (Yaw),rad,10,3.385586877263454,7.283467465450483,2.666900008903582,-6.47679847970517,17.575592510139536,26.126885863536266,One-sample t-test (one-tailed: improvement > 0),1.394495229088274,0.09831468239674443,False,0.46483174302942465,small
Viewing Sphere Coverage,%,10,0.09229800121454959,0.41351975344148834,0.04324495690698471,-0.7402832353234019,0.8633047445933226,6.53275123642705,One-sample t-test (one-tailed: improvement > 0),0.6696028456663035,0.2599590606115787,False,0.2232009485554345,small
Viewing Sphere Coverage (with FOV),%,10,10.140389126972655,19.54696954175841,11.895358856943457,-33.795293163366,42.22268475226025,14.491867288118954,One-sample t-test (one-tailed: improvement > 0),1.5563111875694533,0.07702936060467781,False,0.5187703958564844,medium
