metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Average Inter-Hand Distance,m,13,1.8380327028046477,1.2591692735523607,1.8898934640678329,1.2762823244196413,2.40863374314277,13,1.8966336281094427,0.8509254188394026,1.8369976046208287,1.5198936626668411,2.296280675379729,Paired t-test,13,-0.1410029119238697,0.8902069834733983,False,-0.04070403457788363,negligible
Minimum Inter-Hand Distance,m,13,1.141562982480134,0.9473110916275377,0.8999916737519644,0.5687280865431008,1.9931693473645296,13,1.054519458163658,0.5566921890223376,0.9878880856152054,0.6095799476668385,1.4297299259817462,Wilcoxon signed-rank,13,43.0,0.892578125,False,0.10105190937160273,negligible
Maximum Inter-Hand Distance,m,13,2.4857319217182297,1.6444041717863433,2.6069497196406073,1.7348315336514382,3.1406451807785456,13,2.68731942404383,1.4802427796551747,2.625067900074355,1.8615374115452552,2.9978954680444287,Paired t-test,13,-0.3145240002885113,0.7585244118837148,False,-0.09079525811658494,negligible
Inter-Hand Distance StdDev,m,13,0.35172292659658094,0.3124776863089446,0.2949822379731829,0.1206363270805098,0.5161404761308026,13,0.4769373221683503,0.4851159862619547,0.2565869405178844,0.120985186878461,0.6931779554202468,Paired t-test,13,-0.7705345615037313,0.45588594470665966,False,-0.22243416825204473,small
Average Relative Speed,km/h,13,2.4998155787665755,1.4598356668256836,2.7370773686780865,1.2959334350574514,3.2828560469563532,13,2.904849223737855,1.6951780591862373,3.0186273656427867,1.8125260633757243,3.6071739319842697,Paired t-test,13,-0.9216914619125631,0.3748486440970531,False,-0.266069406822499,small
Peak Relative Speed,km/h,13,89.50085140011812,227.19510548861584,23.828714549954903,11.814274927321035,39.14350849232075,13,100.83637629858542,310.4122407244513,14.821275196344674,11.342168094741504,19.18651218223133,Wilcoxon signed-rank,13,33.0,0.414306640625,False,-0.029698791053256488,negligible
Movement Correlation,,13,0.2091103727685071,0.30256690496149485,0.0475931640205838,0.0,0.4120688539702613,13,0.1346307293214394,0.2341175520793904,0.0186955153078433,-0.0009515005944876,0.2184169141850927,Wilcoxon signed-rank,13,18.0,0.2060546875,False,0.2907787463324731,small
Synchronization Score,,13,0.8105341230315999,0.09817696814089527,0.7851094651109783,0.7528501373988322,0.885274338547759,13,0.7870019166352843,0.1010358578706259,0.7681301353160173,0.7349064581657587,0.8465589786933558,Paired t-test,13,0.8441516704972156,0.4150966796648973,False,0.24368559709921989,small
