metric,unit,fog_n,fog_mean,fog_std,fog_median,nofog_n,nofog_mean,nofog_std,nofog_median,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Combined Total Distance,m,13,13.709642357698772,6.96604040781685,13.278178355194338,13,15.060344609632883,7.281717301632989,16.561397838722744,Paired t-test,13,-0.6968609781851304,0.49916743560737487,False,-0.20116643667146547,small
Combined Average Speed,km/h,13,1.2062611843580118,0.6049035926551515,1.2066196001287262,13,1.274801767248786,0.6818198314853134,1.4408068847478621,Paired t-test,13,-0.3987890016763493,0.6970538025412167,False,-0.11512046873385119,negligible
Combined Peak Speed,km/h,13,2252727.7278587343,2118620.9610629366,1451286.620008238,13,1456859.314164465,1236050.0825321274,1132604.496910668,Paired t-test,13,1.1684567753766544,0.26531213525770997,False,0.33730441690007673,small
Activity Score,,13,0.41535762085087696,0.2517886661148239,0.39464417913595407,13,0.4601556739510207,0.25946307271279595,0.5070636856010049,Paired t-test,13,-0.6459185030979976,0.5304905063410683,False,-0.1864606108190945,negligible
Motion Complexity,,13,0.5126465157291553,0.19188142294903712,0.492922309862041,13,0.5247567888289735,0.20560820656985146,0.5693857268223564,Paired t-test,13,-0.22478628571977421,0.8259277072745742,False,-0.06489021128522389,negligible
Engagement Score,,13,0.48480530075714323,0.243998824234166,0.48863516300004495,13,0.4659834832149676,0.17263420400552978,0.46977641603667164,Paired t-test,13,0.31169661030803986,0.7606200639069458,False,0.08997906093342034,negligible
Workspace Utilization,,13,0.3409672741361618,0.24198176935710616,0.29731448280209555,13,0.29526582045255734,0.22639792187416316,0.2912889305606957,Paired t-test,13,0.9299226680772995,0.37074083291322935,False,0.26844555136998194,small
