metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,13,0.22965364917230102,0.4700448303866702,0.08070442685456003,-0.36158867854652255,1.1868478342989028,21.97452769275007,One-sample t-test (one-tailed: improvement > 0),1.6924844729504076,0.05816623416637975,False,0.4885781830285898,small
Cumulative Head Rotation,rad,13,4.124820262695365,9.028198216413875,1.390759291629454,-6.003104959965061,25.708652275672428,22.923985361785924,One-sample t-test (one-tailed: improvement > 0),1.5826852924183645,0.06973914050064024,False,0.45688188981010214,small
Cumulative Vertical Rotation (Pitch),rad,13,2.8245955361669726,7.220744802840945,-0.49048418284468553,-6.47679847970517,17.575592510139536,20.120002983975237,One-sample t-test (one-tailed: improvement > 0),1.3550798741837813,0.10017601693832055,False,0.39117786506672525,small
Cumulative Horizontal Rotation (Yaw),rad,13,4.513701547839098,9.810717036314964,4.415895054723208,-9.38009059953481,27.876402239966076,27.09671663828297,One-sample t-test (one-tailed: improvement > 0),1.5937592292430711,0.06848716247604507,False,0.46007866001346875,small
Viewing Sphere Coverage,%,13,0.08360730189743705,0.35994550497171457,0.16372964670271495,-0.7402832353234019,0.8633047445933226,5.7607682351976965,One-sample t-test (one-tailed: improvement > 0),0.8046334390617851,0.21834156742745414,False,0.23227766632064797,small
Viewing Sphere Coverage (with FOV),%,13,8.47175982027891,17.162422820522465,8.306150310922803,-33.795293163366,42.22268475226025,11.516723419795385,One-sample t-test (one-tailed: improvement > 0),1.7099588550746307,0.056489907572618986,False,0.4936226026402611,small
