metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,10,0.2921537803567458,0.47507328428002027,0.14390060645128072,-0.36158867854652255,1.1868478342989028,29.628241317648797,One-sample t-test (one-tailed: improvement > 0),1.844897134972609,0.04907222051181986,True,0.6149657116575364,medium
Cumulative Head Rotation,rad,10,5.547291468431496,9.200579854957311,2.4502489719935863,-6.003104959965061,25.708652275672428,33.0328396828241,One-sample t-test (one-tailed: improvement > 0),1.808785388273955,0.051967333702410946,False,0.602928462757985,medium
Cumulative Vertical Rotation (Pitch),rad,10,6.395313250169892,10.308698057195679,2.94829483760091,-6.256101947285899,31.075049425163954,35.294026466665954,One-sample t-test (one-tailed: improvement > 0),1.8611409165406199,0.04781971101491905,True,0.6203803055135401,medium
Cumulative Horizontal Rotation (Yaw),rad,10,4.23434385663794,6.541472097364024,3.9175277573457734,-4.302944509033553,17.575592510139536,32.67682167375573,One-sample t-test (one-tailed: improvement > 0),1.941922457336886,0.04202481259365772,True,0.647307485778962,medium
Viewing Sphere Coverage,%,10,0.18358536106428675,0.3065790912853805,0.11274391711935672,-0.22540104932320126,0.8633047445933226,12.993970386149256,One-sample t-test (one-tailed: improvement > 0),1.7964567671060985,0.05299161936502026,False,0.5988189223686996,medium
Viewing Sphere Coverage (with FOV),%,10,13.975029515051673,13.321754270467942,11.895358856943457,-2.6262278127118606,42.22268475226025,19.972041560118754,One-sample t-test (one-tailed: improvement > 0),3.1471146887985912,0.005896091801769838,True,1.0490382295995304,large
