session_dir,session_dir_exists,yuv_left_start_ms,yuv_left_end_ms,yuv_left_duration_s,yuv_left_count,yuv_right_start_ms,yuv_right_end_ms,yuv_right_duration_s,yuv_right_count,rgb_left_start_ms,rgb_left_end_ms,rgb_left_duration_s,rgb_left_count,rgb_right_start_ms,rgb_right_end_ms,rgb_right_duration_s,rgb_right_count,depth_left_start_ms,depth_left_end_ms,depth_left_duration_s,depth_left_count,depth_right_start_ms,depth_right_end_ms,depth_right_duration_s,depth_right_count,hmd_start_ms,hmd_end_ms,hmd_duration_s,hmd_count,overall_start_ms,overall_end_ms,overall_duration_s,overall_count
/Volumes/Intenso/NoFog/20251209_142927,True,1765290568414,1765290592372,23.958,1358,1765290568413,1765290592399,23.986,1360,,,,0,,,,0,1765290568580,1765290592232,23.652,589,1765290568580,1765290592232,23.652,589,1765290568411,1765290592223,23.812,1208,1765290568411,1765290592399,23.988,5104
/Volumes/Intenso/Fog/20251209_144306,True,1765291386995,1765291406815,19.820,1015,1765291386995,1765291406829,19.834,1017,1765291386995,1765291406815,19.820,1015,1765291386995,1765291406829,19.834,1017,1765291368985,1765291388596,19.611,490,1765291368985,1765291388596,19.611,490,1765291368879,1765291388580,19.701,1002,1765291368879,1765291406829,37.950,6046
/Volumes/Intenso/NoFog/20251209_153834,True,1765294715373,1765294736999,21.626,1233,1765294715374,1765294737027,21.653,1235,1765294715373,1765294736999,21.626,2466,1765294715374,1765294737027,21.653,2470,1765294715595,1765294736984,21.389,533,1765294715595,1765294736984,21.389,533,1765294715410,1765294736976,21.566,1096,1765294715373,1765294737027,21.654,9566
/Volumes/Intenso/Fog/20251209_153250,True,1765294370567,1765294391221,20.654,1177,1765294370567,1765294391235,20.668,1178,1765294370567,1765294391221,20.654,2354,1765294370567,1765294391235,20.668,2356,1765294370705,1765294391247,20.542,514,1765294370705,1765294391247,20.542,514,1765294370608,1765294391222,20.614,1047,1765294370567,1765294391247,20.680,9140
/Volumes/Intenso/NoFog/20251209_163234,True,1765297954458,1765297975583,21.125,1214,1765297954459,1765297975612,21.153,1216,,,,0,,,,0,1765297954583,1765297975249,20.666,475,1765297954583,1765297975249,20.666,475,1765297954490,1765297975226,20.736,1054,1765297954458,1765297975612,21.154,4434
/Volumes/Intenso/Fog/20251209_164139,True,1765298499429,1765298519332,19.903,1089,1765298499429,1765298519332,19.903,1090,,,,0,,,,0,1765298499595,1765298519025,19.430,475,1765298499595,1765298519025,19.430,475,1765298499486,1765298518986,19.500,992,1765298499429,1765298519332,19.903,4121
/Volumes/Intenso/NoFog/20251212_191211,True,1765566731766,1765566751697,19.931,1156,1765566731766,1765566751696,19.930,1157,,,,0,,,,0,1765566731960,1765566751668,19.708,593,1765566731960,1765566751668,19.708,593,1765566731805,1765566751647,19.842,1009,1765566731766,1765566751697,19.931,4508
/Volumes/Intenso/Fog/20251209_173539,True,1765301740026,1765301761541,21.515,1243,1765301740069,1765301761556,21.487,1238,,,,0,,,,0,1765301740165,1765301761554,21.389,516,1765301740165,1765301761554,21.389,516,1765301740072,1765301761518,21.446,1090,1765301740026,1765301761556,21.530,4603
/Volumes/Intenso/NoFog/20251212_191309,True,1765566789113,1765566808823,19.710,1143,1765566789155,1765566808851,19.696,1143,,,,0,,,,0,1765566789210,1765566808807,19.597,588,1765566789210,1765566808807,19.597,588,1765566789147,1765566808783,19.636,985,1765566789113,1765566808851,19.738,4447
/Volumes/Intenso/Fog/20251209_184559,True,1765305959994,1765305979813,19.819,1139,1765305959994,1765305979827,19.833,1140,,,,0,,,,0,1765305960201,1765305979812,19.611,492,1765305960201,1765305979812,19.611,492,1765305960037,1765305979803,19.766,1005,1765305959994,1765305979827,19.833,4268
/Volumes/Intenso/NoFog/20251210_142814,True,1765376895292,1765376912403,17.111,923,1765376895291,1765376912416,17.125,924,,,,0,,,,0,1765376895513,1765376912361,16.848,423,1765376895513,1765376912361,16.848,423,1765376895343,1765376912356,17.013,867,1765376895291,1765376912416,17.125,3560
/Volumes/Intenso/Fog/20251210_141542,True,1765376142886,1765376163232,20.346,1166,1765376142928,1765376163246,20.318,1166,,,,0,,,,0,1765376142997,1765376163273,20.276,508,1765376142997,1765376163273,20.276,508,1765376142920,1765376163244,20.324,1020,1765376142886,1765376163273,20.387,4368
/Volumes/Intenso/NoFog/20251210_154223,True,1765381344346,1765381364236,19.890,1130,1765381344346,1765381364263,19.917,1128,,,,0,,,,0,1765381344567,1765381364234,19.667,491,1765381344567,1765381364234,19.667,491,1765381344405,1765381364221,19.816,1008,1765381344346,1765381364263,19.917,4248
/Volumes/Intenso/Fog/20251210_155102,True,1765381862900,1765381884345,21.445,1222,1765381862900,1765381884345,21.445,1223,,,,0,,,,0,1765381863108,1765381884246,21.138,527,1765381863108,1765381884246,21.138,527,1765381862950,1765381884251,21.301,1082,1765381862900,1765381884345,21.445,4581
/Volumes/Intenso/NoFog/20251211_135816,True,1765461496450,1765461542392,45.942,2182,1765461496450,1765461542420,45.970,2294,,,,0,,,,0,1765461496657,1765461542198,45.541,1003,1765461496657,1765461542198,45.541,1003,1765461496498,1765461542176,45.678,2130,1765461496450,1765461542420,45.970,8612
/Volumes/Intenso/Fog/20251211_135228,True,1765461149216,1765461168992,19.776,1129,1765461149217,1765461168993,19.776,1130,,,,0,,,,0,1765461149508,1765461168993,19.485,488,1765461149508,1765461168993,19.485,488,1765461149233,1765461168966,19.733,1003,1765461149216,1765461168993,19.777,4238
/Volumes/Intenso/NoFog/20251212_191346,True,1765566826669,1765566846351,19.682,1090,1765566826696,1765566846364,19.668,1089,,,,0,,,,0,1765566826793,1765566846362,19.569,586,1765566826793,1765566846362,19.569,586,1765566826704,1765566846354,19.650,985,1765566826669,1765566846364,19.695,4336
/Volumes/Intenso/Fog/20251211_152157,True,1765466518028,1765466540001,21.973,1274,1765466518029,1765466540002,21.973,1275,,,,0,,,,0,1765466518265,1765466540015,21.750,531,1765466518265,1765466540015,21.750,531,1765466518077,1765466539986,21.909,1098,1765466518028,1765466540015,21.987,4709
/Volumes/Intenso/NoFog/20251211_161756,True,1765469876914,1765469896734,19.820,1158,1765469876914,1765469896761,19.847,1158,,,,0,,,,0,1765469877052,1765469896441,19.389,482,1765469877052,1765469896441,19.389,482,1765469876957,1765469896413,19.456,989,1765469876914,1765469896761,19.847,4269
/Volumes/Intenso/Fog/20251211_161220,True,1765469540458,1765469561028,20.570,1189,1765469540458,1765469561055,20.597,1190,,,,0,,,,0,1765469540665,1765469561068,20.403,511,1765469540665,1765469561068,20.403,511,1765469540499,1765469561042,20.543,1044,1765469540458,1765469561068,20.610,4445
/Volumes/Intenso/NoFog/20251212_151842,True,1765552722498,1765552743526,21.028,1233,1765552722540,1765552743540,21.000,1233,,,,0,,,,0,1765552722706,1765552743553,20.847,521,1765552722706,1765552743553,20.847,521,1765552722532,1765552743531,20.999,1053,1765552722498,1765552743553,21.055,4561
/Volumes/Intenso/Fog/20251212_152849,True,1765553329317,1765553349423,20.106,1064,1765553329317,1765553349456,20.139,1065,,,,0,,,,0,1765553329414,1765553349414,20.000,573,1765553329414,1765553349414,20.000,573,1765553329337,1765553349419,20.082,1007,1765553329317,1765553349456,20.139,4282
/Volumes/Intenso/NoFog/20251212_163302,True,1765557183054,1765557208207,25.153,1310,1765557183053,1765557209304,26.251,1356,,,,0,,,,0,1765557183262,1765557203123,19.861,575,1765557183262,1765557203082,19.820,574,1765557183094,1765557205835,22.741,1059,1765557183053,1765557209304,26.251,4874
/Volumes/Intenso/Fog/20251212_162228,True,1765556549173,1765556570492,21.319,1243,1765556549173,1765556570493,21.320,1244,,,,0,,,,0,1765556549367,1765556570450,21.083,627,1765556549367,1765556570450,21.083,627,1765556549208,1765556570421,21.213,1078,1765556549173,1765556570493,21.320,4819
/Volumes/Intenso/NoFog/20251212_173704,True,1765561024384,1765561046163,21.779,1253,1765561024384,1765561046190,21.806,1252,,,,0,,,,0,1765561024717,1765561046175,21.458,646,1765561024717,1765561046175,21.458,646,1765561024526,1765561046154,21.628,1098,1765561024384,1765561046190,21.806,4895
/Volumes/Intenso/Fog/20251212_191501,True,1765566902206,1765566922081,19.875,1141,1765566902205,1765566923094,20.889,1142,,,,0,,,,0,1765566902329,1765566922065,19.736,594,1765566902329,1765566922065,19.736,594,1765566902247,1765566922055,19.808,1007,1765566902205,1765566923094,20.889,4478
