metric,unit,n_participants,mean_improvement,std_improvement,median_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,cohens_d,effect_size
Average Head Angular Speed,rad/s,12,0.27506051887744004,0.45858518404805887,0.12061130615084548,-0.36158867854652255,1.1868478342989028,25.464388243037263,One-sample t-test (one-tailed: improvement > 0),1.9893196891012788,0.036055346574273305,True,0.5998024542559452,medium
Cumulative Head Rotation,rad,12,5.124250619079174,8.800006384241348,1.8368605295435438,-6.003104959965061,25.708652275672428,27.85258519324264,One-sample t-test (one-tailed: improvement > 0),1.9312732165360986,0.03980702944987516,True,0.5823007842648216,medium
Cumulative Vertical Rotation (Pitch),rad,12,3.720459026367088,6.857536604538411,2.666900008903582,-4.302944509033553,17.575592510139536,26.03167694799985,One-sample t-test (one-tailed: improvement > 0),1.7993876445638277,0.04970871043135139,True,0.5425357881290547,medium
Cumulative Horizontal Rotation (Yaw),rad,12,5.994156745227855,9.052946162798131,5.402614999034345,-7.865131623831646,27.876402239966076,36.18800830684096,One-sample t-test (one-tailed: improvement > 0),2.1960109450550425,0.025218117703410165,True,0.6621222127510311,medium
Viewing Sphere Coverage,%,12,0.16917117626837394,0.2665509172986934,0.16471408350762962,-0.22540104932320126,0.8633047445933226,11.655745555980698,One-sample t-test (one-tailed: improvement > 0),2.104953615284454,0.02954561905551124,True,0.6346673948182402,medium
Viewing Sphere Coverage (with FOV),%,12,12.079092670419955,12.54053439954697,9.416374013210408,-2.6262278127118606,42.22268475226025,16.300158293622648,One-sample t-test (one-tailed: improvement > 0),3.19458620496765,0.004268273784933555,True,0.9632039820293715,large
