metric,unit,n_participants,median_improvement,mad_improvement,mean_improvement,std_improvement,min_improvement,max_improvement,improvement_percent,test,statistic,p_value,significant,effect_size_r,effect_size
Average Head Angular Speed,rad/s,13,0.08070442685456003,0.41660571501355914,0.22965364917230102,0.4700448303866702,-0.36158867854652255,1.1868478342989028,8.610806769738835,Wilcoxon signed-rank (one-tailed: improvement > 0),63.0,0.1219482421875,False,4.846153846153847,large
Cumulative Head Rotation,rad,13,1.390759291629454,7.144544899433573,4.124820262695365,9.028198216413875,-6.003104959965061,25.708652275672428,7.833854342729804,Wilcoxon signed-rank (one-tailed: improvement > 0),62.0,0.13671875,False,4.769230769230769,large
Cumulative Vertical Rotation (Pitch),rad,13,-0.49048418284468553,5.986314296860485,2.8245955361669726,7.220744802840945,-6.47679847970517,17.575592510139536,-3.5891436348349166,Wilcoxon signed-rank (one-tailed: improvement > 0),62.0,0.13671875,False,4.769230769230769,large
Cumulative Horizontal Rotation (Yaw),rad,13,4.415895054723208,5.851754520128885,4.513701547839098,9.810717036314964,-9.38009059953481,27.876402239966076,25.635508408977348,Wilcoxon signed-rank (one-tailed: improvement > 0),65.0,0.095458984375,False,5.0,large
Viewing Sphere Coverage,%,13,0.16372964670271495,0.17680776006948884,0.08360730189743705,0.35994550497171457,-0.7402832353234019,0.8633047445933226,10.67453331416005,Wilcoxon signed-rank (one-tailed: improvement > 0),60.0,0.1697998046875,False,4.615384615384616,large
Viewing Sphere Coverage (with FOV),%,13,8.306150310922803,9.19359876493941,8.47175982027891,17.162422820522465,-33.795293163366,42.22268475226025,11.556737014140204,Wilcoxon signed-rank (one-tailed: improvement > 0),73.0,0.0286865234375,True,5.615384615384616,large
